2017/01/18 18:37:04 INFO  - jmeter.util.JMeterUtils: Setting Locale to ko_KR 
2017/01/18 18:37:05 ERROR - jmeter.util.JMeterUtils: Could not find resources for 'ko_KR' 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: Loading user properties from: /Users/hsyang/test/apache-jmeter-3.1/bin/user.properties 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: Loading system properties from: /Users/hsyang/test/apache-jmeter-3.1/bin/system.properties 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: java.version=1.8.0_91 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: os.name=Mac OS X 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: os.arch=x86_64 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: os.version=10.11.6 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: Max memory     =514850816 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: Available Processors =4 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: Default Locale=한국어 (대한민국) 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: JMeter  Locale=한국어 (대한민국) 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: JMeterHome=/Users/hsyang/test/apache-jmeter-3.1 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: user.dir  =/Users/hsyang/test/jmx 
2017/01/18 18:37:05 INFO  - jmeter.JMeter: PWD       =/Users/hsyang/test/jmx 
2017/01/18 18:37:38 INFO  - jmeter.JMeter: IP: 192.168.10.9 Name: hsyang-com-castis FullName: 192.168.10.9 
2017/01/18 18:37:40 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: com.apple.laf.AquaLookAndFeel [Mac OS X, System] 
2017/01/18 18:37:40 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2017/01/18 18:37:45 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/01/18 18:37:45 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/01/18 18:37:47 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.assertions.BSFAssertion 
2017/01/18 18:37:48 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.extractor.BSFPostProcessor 
2017/01/18 18:37:48 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.modifiers.BSFPreProcessor 
2017/01/18 18:37:48 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/18 18:37:48 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/18 18:37:48 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/18 18:37:48 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/18 18:37:48 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/01/18 18:37:48 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2017/01/18 18:37:49 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2017/01/18 18:37:49 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file /Users/hsyang/test/apache-jmeter-3.1/bin/proxyserver.jks 
2017/01/18 18:37:49 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.java.sampler.BSFSampler 
2017/01/18 18:37:49 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.config.MongoSourceElement 
2017/01/18 18:37:49 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.sampler.MongoScriptSampler 
2017/01/18 18:37:49 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.timers.BSFTimer 
2017/01/18 18:37:49 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.BSFListener 
2017/01/18 18:37:49 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.MonitorHealthVisualizer 
2017/01/18 18:37:49 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2017/01/18 18:37:49 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2017/01/18 18:37:49 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2017/01/18 18:37:49 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2017/01/18 18:38:54 INFO  - jmeter.services.FileServer: Default base='/Users/hsyang/test/jmx' 
2017/01/18 18:38:54 INFO  - jmeter.gui.action.Load: Loading file: /Users/hsyang/test/jmx/report_collector.jmx 
2017/01/18 18:38:54 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx' 
2017/01/18 18:38:55 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2017/01/18 18:38:55 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2017/01/18 18:38:55 INFO  - jmeter.save.SaveService: Using SaveService properties version 3.1 
2017/01/18 18:38:55 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2017/01/18 18:38:55 INFO  - jmeter.save.SaveService: Loading file: /Users/hsyang/test/jmx/report_collector.jmx 
2017/01/18 18:38:55 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx' 
2017/01/18 18:41:13 INFO  - jmeter.gui.action.Load: Loading file: /Users/hsyang/test/jmx/reportCollector/reportCollector.jmx 
2017/01/18 18:41:13 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx/reportCollector' 
2017/01/18 18:41:13 INFO  - jmeter.save.SaveService: Loading file: /Users/hsyang/test/jmx/reportCollector/reportCollector.jmx 
2017/01/18 18:41:13 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx/reportCollector' 
2017/01/18 18:56:58 INFO  - jmeter.gui.action.Load: Loading file: /Users/hsyang/test/jmx/report_collector.jmx 
2017/01/18 18:56:58 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx' 
2017/01/18 18:56:58 INFO  - jmeter.save.SaveService: Loading file: /Users/hsyang/test/jmx/report_collector.jmx 
2017/01/18 18:56:58 INFO  - jmeter.services.FileServer: Set new base='/Users/hsyang/test/jmx' 
2017/01/18 18:58:29 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2017/01/18 18:58:29 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/01/18 18:58:29 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/01/18 18:58:29 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2017/01/18 18:58:30 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Unit Test 
2017/01/18 18:58:30 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Unit Test. 
2017/01/18 18:58:30 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2017/01/18 18:58:30 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2017/01/18 18:58:30 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/01/18 18:58:30 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/01/18 18:58:30 INFO  - jmeter.threads.JMeterThread: Thread started: Unit Test 1-1 
